id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38888314,Gorgeous Northcote Garden Home,21481785,Andrew,,Darebin,-37.78155,145.0082,Entire home/apt,120,3,2,2019-12-31,0.08,1,0,0,
38893611,Eco-friendly bright comfy room* Free Tram Zone,41369546,Wendy,,Melbourne,-37.80857,144.96814,Private room,48,1,22,2020-07-07,0.81,6,0,0,
38905820,The Bungalow,297967040,Andrew,,Banyule,-37.76458,145.04409,Entire home/apt,124,2,43,2021-12-26,1.56,1,173,3,
38906794,Amazing studio - facilities & location unbeatable,15921797,Gen,,Stonnington,-37.83797,144.99679,Entire home/apt,75,7,4,2019-12-29,0.15,1,0,0,
38907016,Amazing City Skyline & Beach Views! Casino &MEC,140383670,Danny,,Melbourne,-37.82638,144.95602,Private room,52,1,12,2021-12-11,0.71,1,0,10,
38907958,Chum Creek Hut  - Yarra Valley country escape,235781696,Catherine,,Yarra Ranges,-37.58961,145.46874,Entire home/apt,344,2,13,2021-12-31,0.48,2,252,6,
38908333,"4 bedroom Light, Bright Home in Brighton East.",30382102,Marnie,,Bayside,-37.92996,145.01237,Entire home/apt,450,7,1,2020-01-01,0.04,1,0,0,
38909063,Welcome YIN & YANG Home,16949514,Tao,,Yarra,-37.80548,144.99628,Entire home/apt,102,3,11,2022-01-01,0.61,1,88,9,
38909203,Brand New 2019 Home 5m drive to Brighton Beach,99118178,Angela,,Glen Eira,-37.91484,145.04231,Entire home/apt,411,5,1,2019-10-20,0.04,1,0,0,
38909670,"Red Oak Unit, Belaradah on Stefani Estate Vineyard",382368238,Melissa,,Yarra Ranges,-37.64953,145.46798,Entire home/apt,340,2,17,2022-01-02,0.66,2,163,11,
38911881,"Quiet, Sunlit Apartment in South Yarra",24017734,Geordie,,Stonnington,-37.83832,144.99937,Entire home/apt,90,1,37,2021-12-22,1.33,2,201,6,
38913984,Garden oasis renovated 3 bedroom apt,5138361,Bronnie And Neil,,Melbourne,-37.82387,144.96784,Entire home/apt,386,2,61,2021-12-29,2.20,16,38,30,
38923199,Private room in charming little home. Reservoir,68625644,Adam,,Darebin,-37.7194,144.9968,Private room,55,1,5,2021-02-10,0.19,1,0,1,
38929103,"2 Bedroom Great Views, Wifi, Netflix - Executive Apartment",275482137,Mega Style,,Melbourne,-37.827671,144.956696,Entire home/apt,224,1,22,2021-05-23,0.80,17,303,9,
38929973,Royal Stays 2Bdr/2Bath Apt near Casino (RS2805),4170460,Royal Stays,,Port Phillip,-37.82925,144.9573,Entire home/apt,100,30,2,2020-01-31,0.08,35,238,0,
38932229,Beautiful queen-size room in home with hounds,24343866,Kerren,,Melbourne,-37.78993,144.9338,Private room,75,2,7,2021-04-12,0.25,2,88,1,
38933330,U201 Brand New Balcony Apartment Close airport/CBD,277057023,Brunswick Living,,Moreland,-37.77439,144.94839,Entire home/apt,121,1,44,2022-01-07,1.67,4,360,27,
38935171,Serenity 11 - Whole,151485462,Francis,,Cardinia,-38.07812,145.49072,Entire home/apt,280,2,6,2021-11-03,0.60,9,74,6,
38935747,Queen size bed & close to Melbourne CBD,295318273,Yen,,Maribyrnong,-37.79368,144.87215,Private room,45,3,30,2021-12-26,1.12,3,359,18,
38936452,Green oasis in the heart of Carlton,21917331,Emma,,Melbourne,-37.79718,144.96883,Entire home/apt,150,2,2,2021-05-09,0.08,1,0,1,
